split_size,accuracy,f1_score,mean_confidence,source
0.1,0.8055555555555556,0.8108108108108109,0.7148047658297999,Centroid_weak_0.1
0.2,0.841225626740947,0.8429752066115702,0.7672277873914254,Centroid_weak_0.1
0.4,0.8437935843793585,0.8457300275482094,0.7900277137309875,Centroid_weak_0.1
0.6,0.8252788104089219,0.8216318785578748,0.7986283044544917,Centroid_weak_0.1
0.8,0.8396094839609484,0.8424657534246576,0.8133040946449999,Centroid_weak_0.1
1.0,0.8655883993307306,0.8657381615598886,0.8199244888194156,Centroid_weak_0.1
0.1,0.8111111111111111,0.8131868131868132,0.7110497097605075,Zero_weak_0.1
0.2,0.8495821727019499,0.850828729281768,0.7636569248306224,Zero_weak_0.1
0.4,0.8535564853556485,0.85273492286115,0.7868884902800932,Zero_weak_0.1
0.6,0.8280669144981413,0.8239771646051379,0.7954966366266406,Zero_weak_0.1
0.8,0.8403068340306834,0.8421778084079945,0.8094700475336575,Zero_weak_0.1
1.0,0.8644729503625209,0.864321608040201,0.8138068188580345,Zero_weak_0.1
0.1,0.8,0.8064516129032258,0.7543472330069358,Centroid_weak_0.5
0.2,0.8384401114206128,0.8406593406593407,0.8016434850885271,Centroid_weak_0.5
0.4,0.8382147838214784,0.8415300546448088,0.81832444310325,Centroid_weak_0.5
0.6,0.8150557620817844,0.813844714686623,0.8251745984153755,Centroid_weak_0.5
0.8,0.8256624825662483,0.830393487109905,0.8345256111244229,Centroid_weak_0.5
1.0,0.8611266034578918,0.8626585769442913,0.8456683675532024,Centroid_weak_0.5
0.1,0.8388888888888889,0.8379888268156425,0.7374130919748393,Zero_weak_0.5
0.2,0.8607242339832869,0.8595505617977528,0.7860063641047221,Zero_weak_0.5
0.4,0.8702928870292888,0.8688293370944993,0.804385460342799,Zero_weak_0.5
0.6,0.8317843866171004,0.8261287223823247,0.8094085888582436,Zero_weak_0.5
0.8,0.8382147838214784,0.8386648122392212,0.8216200135249005,Zero_weak_0.5
1.0,0.8667038482989403,0.8658057271195957,0.8250915525508206,Zero_weak_0.5
0.1,0.8055555555555556,0.8108108108108109,0.7842366115940119,Centroid_weak_1.0
0.2,0.8356545961002786,0.8383561643835616,0.8271421406968027,Centroid_weak_1.0
0.4,0.8368200836820083,0.8390646492434664,0.838429017783682,Centroid_weak_1.0
0.6,0.8048327137546468,0.8051948051948052,0.8450533513988592,Centroid_weak_1.0
0.8,0.8221757322175732,0.8285137861466039,0.8520462123505416,Centroid_weak_1.0
1.0,0.8555493586168432,0.8569850911098841,0.8647703557695195,Centroid_weak_1.0
0.1,0.8388888888888889,0.8397790055248618,0.7571697693138261,Zero_weak_1.0
0.2,0.8690807799442897,0.8676056338028169,0.8025128966709004,Zero_weak_1.0
0.4,0.8758716875871687,0.8733997155049786,0.8179490716053328,Zero_weak_1.0
0.6,0.8345724907063197,0.8278529980657641,0.8196048124853706,Zero_weak_1.0
0.8,0.8451882845188284,0.8445378151260504,0.8305288022991584,Zero_weak_1.0
1.0,0.86781929726715,0.8670779584969153,0.8335704570217582,Zero_weak_1.0
